"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03075099999","1935-01-01","58.458889","-3.093056","38.4","WICK, UK","  42.5"," 4","  41.5"," 4","1013.6"," 4","999.9"," 0"," 12.4"," 4","  5.1"," 4","  5.1","999.9","  46.9"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-02","58.458889","-3.093056","38.4","WICK, UK","  48.5"," 4","  47.5"," 4","1021.8"," 4","999.9"," 0","  9.3"," 4"," 10.0"," 4"," 13.0","999.9","  52.0","*","  39.0"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-03","58.458889","-3.093056","38.4","WICK, UK","  49.0"," 4","  47.3"," 4","1021.1"," 4","999.9"," 0"," 12.4"," 4"," 11.0"," 4"," 13.0","999.9","  54.0"," ","  45.0","*"," 0.00","I","999.9","000000"
"03075099999","1935-01-04","58.458889","-3.093056","38.4","WICK, UK","  43.0"," 4","  39.7"," 4","1019.0"," 4","999.9"," 0"," 12.4"," 4"," 18.5"," 4"," 23.9","999.9","  52.0"," ","  41.0","*","99.99"," ","999.9","010000"
"03075099999","1935-01-05","58.458889","-3.093056","38.4","WICK, UK","  40.2"," 4","  34.5"," 4","1020.0"," 4","999.9"," 0"," 12.4"," 4"," 15.7"," 4"," 23.9","999.9","  45.0"," ","  39.0"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-06","58.458889","-3.093056","38.4","WICK, UK","  40.7"," 4","  38.3"," 4","1021.2"," 4","999.9"," 0"," 12.4"," 4"," 13.0"," 4"," 13.0","999.9","  42.1","*","  39.0"," ","99.99"," ","999.9","010100"
"03075099999","1935-01-07","58.458889","-3.093056","38.4","WICK, UK","  41.3"," 4","  37.3"," 4","1026.5"," 4","999.9"," 0"," 12.4"," 4"," 14.3"," 4"," 18.1","999.9","  43.0"," ","  36.0"," ","99.99"," ","999.9","010100"
"03075099999","1935-01-08","58.458889","-3.093056","38.4","WICK, UK","  41.0"," 4","  37.7"," 4","1024.2"," 4","999.9"," 0"," 12.4"," 4"," 16.8"," 4"," 18.1","999.9","  43.0"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-09","58.458889","-3.093056","38.4","WICK, UK","  40.8"," 4","  36.7"," 4","1019.2"," 4","999.9"," 0"," 12.4"," 4"," 15.5"," 4"," 18.1","999.9","  42.1"," ","  37.9"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-10","58.458889","-3.093056","38.4","WICK, UK","  45.0"," 4","  41.7"," 4","1010.7"," 4","999.9"," 0"," 12.4"," 4"," 21.5"," 4"," 36.9","999.9","  46.9","*","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-11","58.458889","-3.093056","38.4","WICK, UK","  43.7"," 4","  40.5"," 4"," 994.8"," 4","999.9"," 0"," 10.9"," 4"," 23.4"," 4"," 36.9","999.9","  48.0"," ","  35.1","*","99.99"," ","999.9","010000"
"03075099999","1935-01-12","58.458889","-3.093056","38.4","WICK, UK","  33.8"," 4","  32.7"," 4","1002.8"," 4","999.9"," 0","  9.9"," 4"," 12.0"," 4"," 13.0","999.9","  48.0"," ","  32.0"," ","99.99"," ","999.9","001000"
"03075099999","1935-01-13","58.458889","-3.093056","38.4","WICK, UK","  33.5"," 4","  30.2"," 4","1007.9"," 4","999.9"," 0","  8.4"," 4"," 10.2"," 4"," 18.1","999.9","  37.0"," ","  30.0"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-14","58.458889","-3.093056","38.4","WICK, UK","  44.5"," 4","  42.8"," 4","1009.8"," 4","999.9"," 0","  9.3"," 4","  8.9"," 4","  8.9","999.9","  48.0","*","  34.0"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-15","58.458889","-3.093056","38.4","WICK, UK","  46.5"," 4","  45.5"," 4","1026.0"," 4","999.9"," 0","  9.9"," 4","  6.0"," 4","  8.9","999.9","  48.0"," ","  45.0"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-16","58.458889","-3.093056","38.4","WICK, UK","  43.5"," 4","  42.5"," 4","1030.1"," 4","999.9"," 0"," 10.9"," 4","  7.0"," 4","  8.9","999.9","  48.9"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-17","58.458889","-3.093056","38.4","WICK, UK","  44.7"," 4","  43.8"," 4","1040.8"," 4","999.9"," 0"," 10.9"," 4","  4.3"," 4","  5.1","999.9","  46.9"," ","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-18","58.458889","-3.093056","38.4","WICK, UK","  41.8"," 4","  39.2"," 4","1044.2"," 4","999.9"," 0"," 10.9"," 4","  2.7"," 4","  5.1","999.9","  46.0"," ","  39.9"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-19","58.458889","-3.093056","38.4","WICK, UK","  40.2"," 4","  39.2"," 4","1042.2"," 4","999.9"," 0","  9.3"," 4","  4.3"," 4","  5.1","999.9","  42.1"," ","  37.9"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-20","58.458889","-3.093056","38.4","WICK, UK","  42.0"," 4","  41.0"," 4","1042.0"," 4","999.9"," 0","  5.3"," 4","  6.0"," 4","  8.9","999.9","  43.0","*","  39.9"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-21","58.458889","-3.093056","38.4","WICK, UK","  44.7"," 4","  43.7"," 4","1037.3"," 4","999.9"," 0"," 10.9"," 4","  7.0"," 4","  8.9","999.9","  48.9","*","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-22","58.458889","-3.093056","38.4","WICK, UK","  46.8"," 4","  44.3"," 4","1032.6"," 4","999.9"," 0"," 10.9"," 4"," 10.0"," 4"," 13.0","999.9","  48.9"," ","  43.0"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-23","58.458889","-3.093056","38.4","WICK, UK","  46.4"," 4","  42.5"," 4","1021.7"," 4","999.9"," 0"," 12.4"," 4"," 23.0"," 4"," 36.9","999.9","  48.0"," ","  44.1"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-24","58.458889","-3.093056","38.4","WICK, UK","  45.7"," 4","  44.8"," 4","1008.3"," 4","999.9"," 0","  9.4"," 4"," 13.3"," 4"," 18.1","999.9","  48.9","*","  41.0"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-25","58.458889","-3.093056","38.4","WICK, UK","  33.0"," 4","  31.2"," 4"," 974.5"," 4","999.9"," 0","  8.1"," 4"," 21.7"," 4"," 36.9","999.9","  48.9"," ","  30.0"," ","99.99"," ","999.9","011000"
"03075099999","1935-01-26","58.458889","-3.093056","38.4","WICK, UK","  39.0"," 4","  32.0"," 4","1003.5"," 4","999.9"," 0","  9.3"," 4"," 36.9"," 4"," 36.9","999.9","  39.9","*","  33.1"," ","99.99"," ","999.9","010000"
"03075099999","1935-01-27","58.458889","-3.093056","38.4","WICK, UK","  35.5"," 4","  30.0"," 4","1024.1"," 4","999.9"," 0"," 12.4"," 4"," 24.2"," 4"," 36.9","999.9","  39.9"," ","  32.0"," ","99.99"," ","999.9","010100"
"03075099999","1935-01-28","58.458889","-3.093056","38.4","WICK, UK","  36.8"," 4","  35.0"," 4","1022.5"," 4","999.9"," 0"," 10.9"," 4","  8.0"," 4","  8.9","999.9","  42.1","*","  32.0"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-29","58.458889","-3.093056","38.4","WICK, UK","  42.0"," 4","  41.0"," 4","1024.6"," 4","999.9"," 0"," 12.4"," 4","  6.0"," 4","  8.9","999.9","  44.1"," ","  39.0"," "," 0.00","I","999.9","000000"
"03075099999","1935-01-30","58.458889","-3.093056","38.4","WICK, UK","  42.5"," 4","  41.5"," 4","1013.2"," 4","999.9"," 0"," 12.4"," 4","  8.0"," 4","  8.9","999.9","  46.9"," ","  36.0"," ","99.99"," ","999.9","010000"
