"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03159099999","1935-01-01","56.033","-3.133","58.0","INCHKEITH, UK","  45.7"," 4","  44.0"," 4","1015.8"," 4","999.9"," 0","  5.3"," 4","  7.5"," 4"," 13.0","999.9","  48.9"," ","  44.1"," ","99.99"," ","999.9","010000"
"03159099999","1935-01-02","56.033","-3.133","58.0","INCHKEITH, UK","  49.0"," 4","  48.0"," 4","1024.9"," 4","999.9"," 0","  6.3"," 4","  8.2"," 4"," 13.0","999.9","  52.0","*","  44.1"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-03","56.033","-3.133","58.0","INCHKEITH, UK","  48.9"," 4","  48.0"," 4","1027.0"," 4","999.9"," 0"," 10.9"," 4"," 20.2"," 4"," 23.9","999.9","  53.1"," ","  48.0"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-04","56.033","-3.133","58.0","INCHKEITH, UK","  45.8"," 4","  37.5"," 4","1022.7"," 4","999.9"," 0"," 17.1"," 4"," 15.5"," 4"," 18.1","999.9","  48.9"," ","  43.0"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-05","56.033","-3.133","58.0","INCHKEITH, UK","  41.5"," 4","  32.5"," 4","1021.0"," 4","999.9"," 0"," 12.4"," 4","  8.2"," 4"," 13.0","999.9","  48.0"," ","  39.9"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-06","56.033","-3.133","58.0","INCHKEITH, UK","  39.7"," 4","  32.7"," 4","1019.1"," 4","999.9"," 0"," 12.4"," 4","  8.9"," 4","  8.9","999.9","  43.0"," ","  37.0"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-07","56.033","-3.133","58.0","INCHKEITH, UK","  38.5"," 4","  36.0"," 4","1023.7"," 4","999.9"," 0"," 12.4"," 4"," 10.0"," 4"," 13.0","999.9","  43.0"," ","  36.0"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-08","56.033","-3.133","58.0","INCHKEITH, UK","  36.3"," 4","  34.5"," 4","1026.0"," 4","999.9"," 0","  6.5"," 4","  1.9"," 4","  1.9","999.9","  42.1"," ","  35.1"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-09","56.033","-3.133","58.0","INCHKEITH, UK","  38.5"," 4","  35.3"," 4","1024.8"," 4","999.9"," 0","  4.3"," 4","  2.7"," 4","  5.1","999.9","  39.9","*","  35.1"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-10","56.033","-3.133","58.0","INCHKEITH, UK","  45.7"," 4","  42.5"," 4","1019.8"," 4","999.9"," 0"," 10.9"," 4"," 21.0"," 4"," 23.9","999.9","  48.0","*","  37.9"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-11","56.033","-3.133","58.0","INCHKEITH, UK","  43.0"," 4","  38.0"," 4","1004.1"," 4","999.9"," 0"," 15.5"," 4"," 23.9"," 4"," 23.9","999.9","  48.0"," ","  37.0","*","99.99"," ","999.9","010000"
"03159099999","1935-01-12","56.033","-3.133","58.0","INCHKEITH, UK","  36.7"," 4","  31.2"," 4","1006.1"," 4","999.9"," 0","  6.8"," 4"," 13.3"," 4"," 18.1","999.9","  48.0"," ","  34.0"," ","99.99"," ","999.9","011000"
"03159099999","1935-01-13","56.033","-3.133","58.0","INCHKEITH, UK","  33.8"," 4","  29.8"," 4","1011.2"," 4","999.9"," 0","  7.0"," 4","  7.2"," 4","  8.9","999.9","  39.9"," ","  32.0","*","99.99"," ","999.9","001000"
"03159099999","1935-01-14","56.033","-3.133","58.0","INCHKEITH, UK","  45.5"," 4","  44.5"," 4","1014.2"," 4","999.9"," 0","  6.4"," 4"," 10.0"," 4"," 13.0","999.9","  48.9","*","  32.0"," "," 0.00","I","999.9","000000"
"03159099999","1935-01-15","56.033","-3.133","58.0","INCHKEITH, UK","  45.0"," 4","  44.0"," 4","1029.3"," 4","999.9"," 0","  5.4"," 4","  8.9"," 4","  8.9","999.9","  51.1"," ","  44.1"," "," 0.00","I","999.9","000000"
