"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03497099999","1935-01-01","52.583","1.717","3.0","GORLESTON, UK","  46.7"," 4","9999.9"," 0","1018.5"," 4","999.9"," 0","  2.5"," 4","  7.0"," 4","  8.9","999.9","  48.9","*","  45.0","*"," 0.02","E","999.9","010000"
"03497099999","1935-01-02","52.583","1.717","3.0","GORLESTON, UK","  43.4"," 5","  43.0"," 4","1026.7"," 5","999.9"," 0","  1.3"," 5","  4.0"," 5","  5.1","999.9","  48.9"," ","  39.0"," "," 0.04","E","999.9","110000"
"03497099999","1935-01-03","52.583","1.717","3.0","GORLESTON, UK","  49.0"," 5","  48.2"," 4","1030.9"," 5","999.9"," 0","  0.7"," 5","  4.6"," 5","  8.9","999.9","  50.0","*","  46.0"," "," 0.04","E","999.9","010000"
"03497099999","1935-01-04","52.583","1.717","3.0","GORLESTON, UK","  45.0"," 5","  42.5"," 4","1020.0"," 5","999.9"," 0","  5.5"," 5"," 15.7"," 5"," 23.9","999.9","  50.0"," ","  43.0","*"," 0.04","E","999.9","010000"
"03497099999","1935-01-05","52.583","1.717","3.0","GORLESTON, UK","  40.6"," 5","  39.4"," 4","1014.9"," 5","999.9"," 0","  3.2"," 5"," 14.0"," 5"," 18.1","999.9","  46.9"," ","  39.0","*","99.99"," ","999.9","010000"
"03497099999","1935-01-06","52.583","1.717","3.0","GORLESTON, UK","  39.8"," 5","  36.7"," 4","1010.7"," 5","999.9"," 0","  6.2"," 5"," 13.0"," 5"," 13.0","999.9","  44.1","*","  36.0"," "," 0.16","E","999.9","010000"
"03497099999","1935-01-07","52.583","1.717","3.0","GORLESTON, UK","  38.6"," 5","  34.2"," 4","1015.7"," 5","999.9"," 0","  6.2"," 5"," 18.2"," 5"," 23.9","999.9","  45.0"," ","  36.0"," "," 0.04","E","999.9","010100"
"03497099999","1935-01-08","52.583","1.717","3.0","GORLESTON, UK","  36.8"," 5","  34.5"," 4","1023.4"," 5","999.9"," 0","  3.2"," 5","  9.8"," 5"," 13.0","999.9","  41.0"," ","  35.1"," ","99.99"," ","999.9","010000"
"03497099999","1935-01-09","52.583","1.717","3.0","GORLESTON, UK","  34.5"," 4","9999.9"," 0","1029.1"," 4","999.9"," 0","  0.7"," 4","  5.1"," 4","  5.1","999.9","  39.9"," ","  30.9","*"," 0.00","I","999.9","100000"
"03497099999","1935-01-10","52.583","1.717","3.0","GORLESTON, UK","  35.2"," 5","  33.8"," 4","1031.6"," 5","999.9"," 0","  2.0"," 5","  6.6"," 5","  8.9","999.9","  39.0","*","  26.1"," "," 0.00","I","999.9","000000"
"03497099999","1935-01-11","52.583","1.717","3.0","GORLESTON, UK","  41.4"," 5","  38.5"," 4","1022.7"," 5","999.9"," 0","  2.5"," 5"," 18.6"," 5"," 29.9","999.9","  44.1","*","  35.1"," ","99.99"," ","999.9","010000"
"03497099999","1935-01-12","52.583","1.717","3.0","GORLESTON, UK","  36.4"," 5","  31.7"," 4","1006.6"," 5","999.9"," 0","  6.0"," 5"," 11.4"," 5"," 13.0","999.9","  45.0"," ","  35.1"," "," 0.04","E","999.9","000000"
