"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72681024131","1935-01-01","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  25.9","24","  18.4","24","1005.0","17","999.9"," 0"," 12.7","24","  3.5","24","  8.9","999.9","  37.4","*","  16.3","*"," 0.00","I","999.9","000000"
"72681024131","1935-01-02","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  20.9","24","  15.8","24","1003.9","24","999.9"," 0"," 10.8","24","  2.7","24","  8.0","999.9","  29.3","*","  13.5","*"," 0.00","I","999.9","000000"
"72681024131","1935-01-03","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  19.8","24","  14.4","24","1003.4","24","999.9"," 0"," 10.0","24","  1.7","24","  6.0","999.9","  34.3","*","  12.4","*"," 0.00","I","999.9","000000"
"72681024131","1935-01-04","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  34.1","24","  25.0","24"," 999.2","24","999.9"," 0","  9.5","24","  6.5","24"," 16.9","999.9","  50.4","*","  23.4","*","99.99"," ","999.9","001000"
"72681024131","1935-01-05","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  42.8","24","  35.0","24"," 998.4","24","999.9"," 0"," 11.7","24","  7.8","24"," 19.0","999.9","  51.3","*","  35.4","*","99.99"," ","999.9","011000"
"72681024131","1935-01-06","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  37.9","24","  33.7","24"," 999.8","23","999.9"," 0"," 10.9","24","  5.2","24"," 11.1","999.9","  44.4","*","  32.4","*"," 0.00","I","999.9","000000"
"72681024131","1935-01-07","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  43.4","24","  36.1","24"," 999.1","24","999.9"," 0","  9.8","24","  9.1","24"," 16.9","999.9","  46.4","*","  40.3","*","99.99"," ","999.9","010000"
"72681024131","1935-01-08","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  38.6","24","  34.9","24"," 999.1","24","999.9"," 0","  9.9","24","  4.1","24"," 11.1","999.9","  42.4","*","  32.4","*","99.99"," ","999.9","111000"
"72681024131","1935-01-09","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  33.3","24","  30.0","24","1000.4","23","999.9"," 0","  8.8","24","  4.1","24"," 11.1","999.9","  39.4","*","  28.4","*"," 0.00","I","999.9","100000"
"72681024131","1935-01-10","43.5666","-116.2405","857.7","BOISE AIR TERMINAL, ID US","  33.9","24","  31.1","24","1001.7","22","999.9"," 0","  7.6","24","  2.1","24","  4.1","999.9","  39.4","*","  30.4","*"," 0.00","I","999.9","100000"
